1.86E-05,0.198057,0.559366,31,255,0,255,A1BG;1;alpha-1-B glycoprotein
0.358193,0.132867,0.318553,31,255,0,255,A1CF;29974;APOBEC1 complementation factor
0.531162,0.686231,0.441644,255,165,0,255,A2M;2;alpha-2-macroglobulin
1.86E-05,0.198057,0.559366,31,255,0,255,A2ML1;144568;alpha-2-macroglobulin like 1
0.237166,0.587921,0.229734,31,255,0,255,A4GALT;53947;alpha 1- 4-galactosyltransferase
1.86E-05,0.198057,0.559366,31,255,0,255,A4GNT;51146;alpha-1- 4-N-acetylglucosaminyltransferase
0.735666,0.393126,0.651776,255,34,0,255,AAAS;8086;aladin WD repeat nucleoporin
0.404589,0.343278,0.63541,31,255,0,255,AACS;65985;acetoacetyl-CoA synthetase
0.460121,0.384056,0.0842475,31,255,0,255,AADAT;51166;aminoadipate aminotransferase
0.365186,0.417129,0.518704,31,255,0,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1
0.498661,0.595297,0.372872,31,255,0,255,AAGAB;79719;alpha- and gamma-adaptin binding protein
0.436179,0.78824,0.465997,31,0,255,255,AAK1;22848;AP2 associated kinase 1
1.86E-05,0.198057,0.559366,31,255,0,255,AAMDC;28971;adipogenesis associated Mth938 domain containing
0.786476,0.320368,0.183785,68,68,68,255,AAMP;14;angio associated migratory cell protein
0.56937,0.718892,0.0537976,255,191,0,255,AANAT;15;aralkylamine N-acetyltransferase
0.587367,0.0140666,0.421511,0,98,255,255,AAR2;25980;AAR2 splicing factor homolog
0.692256,0.0842305,0.278119,68,68,68,255,AARS;16;alanyl-tRNA synthetase
0.523646,0.143759,0.444016,31,255,0,255,AARS2;57505;alanyl-tRNA synthetase 2-  mitochondrial
0.648447,0.650369,0.729732,68,68,68,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1
1.86E-05,0.198057,0.559366,31,255,0,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase
0.836722,0.687007,0.49793,68,68,68,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
0.453396,0.304359,0.362341,31,255,0,255,AASS;10157;aminoadipate-semialdehyde synthase
0.992659,0.541012,0.593824,0,237,255,255,AATF;26574;apoptosis antagonizing transcription factor
0.633996,0.86663,0.19901,255,0,0,255,AATK;9625;apoptosis associated tyrosine kinase
0.656157,0.332492,0.600704,66,0,255,255,ABAT;18;4-aminobutyrate aminotransferase
