0.515354,0.720704,0.948391,0,0,0,255,A1BG;1;alpha-1-B glycoprotein
0.499352,0.192922,0.894592,0,0,0,255,A1CF;29974;APOBEC1 complementation factor
0.369371,0.234223,0.972426,255,0,243,255,A2M;2;alpha-2-macroglobulin
0.197374,0.287612,0.341864,0,235,255,255,A2ML1;144568;alpha-2-macroglobulin like 1
0.796884,0.452569,0.414187,38,0,255,255,A4GALT;53947;alpha 1- 4-galactosyltransferase
0.19219,0.109493,0.447488,0,0,0,255,A4GNT;51146;alpha-1- 4-N-acetylglucosaminyltransferase
0.555411,0.29254,0.692658,255,175,0,255,AAAS;8086;aladin WD repeat nucleoporin
0.249685,0.457771,0.069234,0,0,0,255,AACS;65985;acetoacetyl-CoA synthetase
0.56518,0.53971,0.99414,0,0,0,255,AADAT;51166;aminoadipate aminotransferase
0.519046,0.490731,0.000449,0,0,0,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1
0.594745,0.143086,0.423546,0,30,255,255,AAGAB;79719;alpha- and gamma-adaptin binding protein
0.854408,0.677967,0.195497,0,0,0,255,AAK1;22848;AP2 associated kinase 1
0.444946,0.837384,0.864885,0,0,0,255,AAMDC;28971;adipogenesis associated Mth938 domain containing
0.481758,0.301423,0.041487,0,0,0,255,AAMP;14;angio associated migratory cell protein
0.34357,0.717836,0.351762,212,236,242,255,AANAT;15;aralkylamine N-acetyltransferase
0.919205,0.416852,0.759526,0,0,0,255,AAR2;25980;AAR2 splicing factor homolog
0.315205,0.059303,0.692391,255,22,0,255,AARS;16;alanyl-tRNA synthetase
0.30955,0.082465,0.751132,255,98,0,255,AARS2;57505;alanyl-tRNA synthetase 2-  mitochondrial
0.609729,0.958445,0.333304,0,0,0,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1
0.515641,0.694801,0.603493,252,141,89,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase
0.48378,0.200882,0.099668,0,0,0,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
0.015192,0.423137,0.557333,220,0,255,255,AASS;10157;aminoadipate-semialdehyde synthase
0.574898,0.308532,0.858101,255,0,68,255,AATF;26574;apoptosis antagonizing transcription factor
0.732279,0.33903,0.912474,0,0,0,255,AATK;9625;apoptosis associated tyrosine kinase
0.276477,0.620905,0.18998,217,239,139,255,ABAT;18;4-aminobutyrate aminotransferase
0.813817,0.48895,0.889098,0,0,0,255,ABCA1;19;ATP binding cassette subfamily A member 1
0.94134,0.184369,0.391348,212,236,242,255,ABCA10;10349;ATP binding cassette subfamily A member 10
0.49192,0.068338,0.398092,255,60,0,255,ABCA12;26154;ATP binding cassette subfamily A member 12
0.43054,0.72552,0.3568,26,152,80,255,ABCA13;154664;ATP binding cassette subfamily A member 13
0.612864,0.198371,0.117532,0,0,0,255,ABCA2;20;ATP binding cassette subfamily A member 2
0.69445,0.455504,0.958486,0,0,0,255,ABCA3;21;ATP binding cassette subfamily A member 3
0.250121,0.104319,0.461244,0,255,167,255,ABCA4;24;ATP binding cassette subfamily A member 4
0.982307,0.171156,0.376126,255,0,144,255,ABCA5;23461;ATP binding cassette subfamily A member 5
0.979792,0.162418,0.378454,255,0,144,255,ABCA6;23460;ATP binding cassette subfamily A member 6
0.37066,0.240655,0.965674,255,0,243,255,ABCA7;10347;ATP binding cassette subfamily A member 7
0.981737,0.165917,0.38437,255,0,144,255,ABCA9;10350;ATP binding cassette subfamily A member 9
0.206821,0.043587,0.119771,0,255,205,255,ABCB1;5243;ATP binding cassette subfamily B member 1
0.978003,0.17513,0.382729,255,0,144,255,ABCB10;23456;ATP binding cassette subfamily B member 10
0.149421,0.40886,0.560551,205,255,0,255,ABCB11;8647;ATP binding cassette subfamily B member 11
0.426139,0.720778,0.361385,26,152,80,255,ABCB4;5244;ATP binding cassette subfamily B member 4
0.979006,0.167445,0.376422,255,0,144,255,ABCB5;340273;ATP binding cassette subfamily B member 5
0.23547,0.070495,0.501828,22,255,0,255,ABCB6;10058;ATP binding cassette subfamily B member 6 (Langereis blood group)
0.10272,0.421971,0.49773,212,236,242,255,ABCB7;22;ATP binding cassette subfamily B member 7
0.915271,0.547463,0.225596,0,0,0,255,ABCB8;11194;ATP binding cassette subfamily B member 8
0.246262,0.52537,0.069915,0,0,0,255,ABCB9;23457;ATP binding cassette subfamily B member 9
0.953103,0.179403,0.387692,255,0,144,255,ABCC1;4363;ATP binding cassette subfamily C member 1
0.645001,0.168293,0.844884,0,0,0,255,ABCC10;89845;ATP binding cassette subfamily C member 10
0.11334,0.393162,0.555174,106,0,255,255,ABCC12;94160;ATP binding cassette subfamily C member 12
0.493856,0.064992,0.395662,255,60,0,255,ABCC2;1244;ATP binding cassette subfamily C member 2
0.202886,0.052498,0.128685,0,255,205,255,ABCC3;8714;ATP binding cassette subfamily C member 3
0.204255,0.051561,0.115897,0,255,205,255,ABCC4;10257;ATP binding cassette subfamily C member 4
0.212289,0.039164,0.115925,0,22,255,255,ABCC5;10057;ATP binding cassette subfamily C member 5
0.424536,0.576676,0.988289,0,0,0,255,ABCC6;368;ATP binding cassette subfamily C member 6
0.355155,0.146707,0.402633,212,236,242,255,ABCC8;6833;ATP binding cassette subfamily C member 8
0.35035,0.106718,0.544995,255,83,0,255,ABCC9;10060;ATP binding cassette subfamily C member 9
0.551682,0.291546,0.683198,255,175,0,255,ABCD1;215;ATP binding cassette subfamily D member 1
0.927181,0.18941,0.395927,212,236,242,255,ABCD2;225;ATP binding cassette subfamily D member 2
0.924474,0.190511,0.396772,212,236,242,255,ABCD3;5825;ATP binding cassette subfamily D member 3
0.018733,0.420642,0.549485,220,0,255,255,ABCD4;5826;ATP binding cassette subfamily D member 4
0.983959,0.172784,0.375504,255,0,144,255,ABCE1;6059;ATP binding cassette subfamily E member 1
0.446874,0.195693,0.546116,212,236,242,255,ABCF1;23;ATP binding cassette subfamily F member 1
0.33469,0.028195,0.508518,0,0,0,255,ABCF2;10061;ATP binding cassette subfamily F member 2
0.551373,0.289348,0.95054,0,0,0,255,ABCF3;55324;ATP binding cassette subfamily F member 3
0.980612,0.165096,0.377938,255,0,144,255,ABCG1;9619;ATP binding cassette subfamily G member 1
0.847689,0.386094,0.749266,0,228,255,255,ABCG2;9429;ATP binding cassette subfamily G member 2 (Junior blood group)
0.18261,0.207228,0.752088,0,0,0,255,ABCG4;64137;ATP binding cassette subfamily G member 4
0.449127,0.186321,0.280587,68,255,0,255,ABCG5;64240;ATP binding cassette subfamily G member 5
0.701361,0.546346,0.044691,0,0,0,255,ABCG8;64241;ATP binding cassette subfamily G member 8
0.348599,0.815718,0.856931,0,0,0,255,ABHD1;84696;abhydrolase domain containing 1
0.255196,0.935562,0.518881,0,0,0,255,ABHD10;55347;abhydrolase domain containing 10
0.991631,0.550523,0.575804,0,0,0,255,ABHD11;83451;abhydrolase domain containing 11
0.369509,0.692236,0.057262,0,0,0,255,ABHD12;26090;abhydrolase domain containing 12
0.631669,0.518797,0.018015,0,0,0,255,ABHD12B;145447;abhydrolase domain containing 12B
0.491613,0.459975,0.874569,252,141,89,255,ABHD14A;25864;abhydrolase domain containing 14A
0.573071,0.853151,0.15367,0,0,0,255,ABHD14B;84836;abhydrolase domain containing 14B
0.191703,0.404913,0.881983,0,0,0,255,ABHD15;116236;abhydrolase domain containing 15
0.073832,0.514829,0.238923,0,0,0,255,ABHD16A;7920;abhydrolase domain containing 16A
0.076293,0.765102,0.513894,0,0,0,255,ABHD17A;81926;abhydrolase domain containing 17A
0.178267,0.187112,0.279571,0,0,0,255,ABHD17B;51104;abhydrolase domain containing 17B
0.560971,0.357128,0.024742,0,0,0,255,ABHD18;80167;abhydrolase domain containing 18
0.549709,0.5402,0.004104,0,0,0,255,ABHD3;171586;abhydrolase domain containing 3
0.251562,0.733335,0.134167,0,0,0,255,ABHD4;63874;abhydrolase domain containing 4
0.493374,0.070135,0.399313,255,60,0,255,ABHD5;51099;abhydrolase domain containing 5
0.614149,0.623389,0.970898,0,0,0,255,ABHD6;57406;abhydrolase domain containing 6
0.996493,0.525205,0.553476,0,0,0,255,ABHD8;79575;abhydrolase domain containing 8
0.111038,0.477798,0.186606,0,0,0,255,ABI1;10006;abl interactor 1
0.441598,0.282222,0.946276,0,0,0,255,ABI2;10152;abl interactor 2
0.16227,0.168368,0.661118,0,0,0,255,ABI3;51225;ABI family member 3
0.247947,0.319077,0.637062,255,0,167,255,ABI3BP;25890;ABI family member 3 binding protein
0.985949,0.354885,0.674589,0,255,106,255,ABL1;25;ABL proto-oncogene 1-  non-receptor tyrosine kinase
0.780242,0.54654,0.801815,235,0,255,255,ABL2;27;ABL proto-oncogene 2-  non-receptor tyrosine kinase
0.652818,0.614232,0.255843,235,255,0,255,ABLIM1;3983;actin binding LIM protein 1
0.529104,0.463255,0.997798,0,0,0,255,ABLIM2;84448;actin binding LIM protein family member 2
0.467407,0.53281,0.997857,0,0,0,255,ABLIM3;22885;actin binding LIM protein family member 3
0.393391,0.993184,0.544711,145,207,96,255,ABO;28;ABO-  alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
0.736515,0.313376,0.623166,0,255,182,255,ABR;29;active BCR-related
0.375453,0.15792,0.014108,255,235,0,255,ABRA;137735;actin binding Rho activating protein
0.528914,0.691309,0.038952,0,0,0,255,ABRACL;58527;ABRA C-terminal like
0.696288,0.326205,0.386984,255,0,45,255,ABT1;29777;activator of basal transcription 1
0.637281,0.739085,0.082876,0,0,0,255,ABTB1;80325;ankyrin repeat and BTB domain containing 1
0.396887,0.652318,0.87721,215,48,39,255,ABTB2;25841;ankyrin repeat and BTB domain containing 2
0.856501,0.65007,0.183162,0,0,0,255,ACAA1;30;acetyl-CoA acyltransferase 1
0.202488,0.228267,0.198877,0,22,255,255,ACAA2;10449;acetyl-CoA acyltransferase 2
0.40416,0.386298,0.159177,175,255,0,255,ACACA;31;acetyl-CoA carboxylase alpha
0.500282,0.568772,0.800495,252,141,89,255,ACACB;32;acetyl-CoA carboxylase beta
0.75238,0.708541,0.877909,0,0,0,255,ACAD10;80724;acyl-CoA dehydrogenase family member 10
0.763181,0.480059,0.075338,0,0,0,255,ACAD11;84129;acyl-CoA dehydrogenase family member 11
0.011618,0.410219,0.554778,220,0,255,255,ACAD8;27034;acyl-CoA dehydrogenase family member 8
0.310082,0.465491,0.537681,255,243,0,255,ACAD9;28976;acyl-CoA dehydrogenase family member 9
0.920315,0.490333,0.229367,0,0,0,255,ACADL;33;acyl-CoA dehydrogenase-  long chain
0.314722,0.090608,0.734322,129,255,0,255,ACADM;34;acyl-CoA dehydrogenase-  C-4 to C-12 straight chain
0.429913,0.724463,0.358554,26,152,80,255,ACADS;35;acyl-CoA dehydrogenase-  C-2 to C-3 short chain
0.280916,0.619932,0.189994,217,239,139,255,ACADSB;36;acyl-CoA dehydrogenase-  short/branched chain
0.497452,0.378955,0.12013,212,236,242,255,ACADVL;37;acyl-CoA dehydrogenase-  very long chain
0.204854,0.04521,0.125607,0,255,205,255,ACAN;176;aggrecan
0.374555,0.341597,0.042646,0,0,0,255,ACAP1;9744;ArfGAP with coiled-coil-  ankyrin repeat and PH domains 1
0.502116,0.49531,2.60E-05,0,0,0,255,ACAP2;23527;ArfGAP with coiled-coil-  ankyrin repeat and PH domains 2
0.851667,0.185819,0.333805,0,0,0,255,ACAP3;116983;ArfGAP with coiled-coil-  ankyrin repeat and PH domains 3
0.282779,0.514882,0.684564,255,251,0,255,ACAT1;38;acetyl-CoA acetyltransferase 1
0.174097,0.224757,0.693231,212,236,242,255,ACAT2;39;acetyl-CoA acetyltransferase 2
0.266468,0.748468,0.134313,0,0,0,255,ACBD3;64746;acyl-CoA binding domain containing 3
0.207965,0.360981,0.881299,0,0,0,255,ACBD4;79777;acyl-CoA binding domain containing 4
0.679953,0.537123,0.965015,0,0,0,255,ACBD5;91452;acyl-CoA binding domain containing 5
0.510392,0.587613,0.161833,0,255,129,255,ACBD6;84320;acyl-CoA binding domain containing 6
0.364004,0.672413,0.949198,0,0,0,255,ACBD7;414149;acyl-CoA binding domain containing 7
0.548541,0.35464,0.975935,0,0,0,255,ACCS;84680;1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
0.672585,0.387538,0.711689,255,106,0,255,ACD;65057;ACD-  shelterin complex subunit and telomerase recruitment factor
0.988426,0.357437,0.676043,0,255,106,255,ACE;1636;angiotensin I converting enzyme
0.04077,0.571102,0.315467,0,0,0,255,ACE2;59272;angiotensin I converting enzyme 2
0.834565,0.370571,0.564748,91,255,0,255,ACER3;55331;alkaline ceramidase 3
0.373557,0.236907,0.971973,255,0,243,255,ACHE;43;acetylcholinesterase (Cartwright blood group)
0.70131,0.356116,0.934479,0,0,0,255,ACIN1;22985;apoptotic chromatin condensation inducer 1
0.613198,0.596753,0.57617,255,0,106,255,ACKR1;2532;atypical chemokine receptor 1 (Duffy blood group)
0.245512,0.488405,0.371937,212,236,242,255,ACKR2;1238;atypical chemokine receptor 2
0.202376,0.049182,0.127433,0,255,205,255,ACKR3;57007;atypical chemokine receptor 3
0.247557,0.488374,0.367884,212,236,242,255,ACKR4;51554;atypical chemokine receptor 4
0.401584,0.383889,0.152224,212,236,242,255,ACLY;47;ATP citrate lyase
0.471409,0.337385,0.028048,0,0,0,255,ACMSD;130013;aminocarboxymuconate semialdehyde decarboxylase
0.728618,0.820074,0.191315,0,0,0,255,ACO1;48;aconitase 1
0.761237,0.5469,0.804767,235,0,255,255,ACO2;50;aconitase 2
0.826089,0.12977,0.418786,0,0,0,255,ACOT1;641371;acyl-CoA thioesterase 1
0.563253,0.575656,0.636739,252,141,89,255,ACOT11;26027;acyl-CoA thioesterase 11
0.556317,0.571724,0.645197,252,141,89,255,ACOT12;134526;acyl-CoA thioesterase 12
0.027175,0.662252,0.489497,0,0,0,255,ACOT13;55856;acyl-CoA thioesterase 13
0.478567,0.23302,0.254185,255,159,0,255,ACOT2;10965;acyl-CoA thioesterase 2
0.551851,0.293288,0.687326,0,0,255,255,ACOT4;122970;acyl-CoA thioesterase 4
0.274092,0.642389,0.528699,255,91,0,255,ACOT6;641372;acyl-CoA thioesterase 6
0.671433,0.438755,0.965682,0,0,0,255,ACOT7;11332;acyl-CoA thioesterase 7
0.684491,0.614815,0.950311,0,0,0,255,ACOT8;10005;acyl-CoA thioesterase 8
0.707551,0.059654,0.385905,0,0,0,255,ACOT9;23597;acyl-CoA thioesterase 9
