0.0915918,0.02243,0.731245,0,50,255,255,A1BG;1;alpha-1-B glycoprotein
0.344007,0.672489,0.518476,21,0,255,255,A1CF;29974;APOBEC1 complementation factor
0.272609,0.0994824,0.167626,133,0,255,255,A2M;2;alpha-2-macroglobulin
0.0915918,0.02243,0.731245,0,50,255,255,A2ML1;144568;alpha-2-macroglobulin like 1
0.552971,0.204873,0.84259,255,0,32,255,A4GALT;53947;alpha 1-4-galactosyltransferase
0.46292,0.184513,0.736436,255,0,96,255,A4GNT;51146;alpha-1-4-N-acetylglucosaminyltransferase
0.60664,0.56267,0.876847,68,68,68,255,AAAS;8086;aladin WD repeat nucleoporin
0.0915918,0.02243,0.731245,0,50,255,255,AACS;65985;acetoacetyl-CoA synthetase
0.0907585,0.403557,0.510856,0,50,255,255,AADAT;51166;aminoadipate aminotransferase
0.483012,0.564881,0.769932,68,68,68,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1
0.219178,0.598949,0.147257,189,255,0,255,AAGAB;79719;alpha- and gamma-adaptin binding protein
0.561593,0.981916,0.595517,85,0,255,255,AAK1;22848;AP2 associated kinase 1
0.271062,0.0646832,0.61373,0,50,255,255,AAMDC;28971;adipogenesis associated Mth938 domain containing
0.438915,0.623043,0.205875,181,0,255,255,AAMP;14;angio associated migratory cell protein
0.233259,0.163467,0.137238,133,0,255,255,AANAT;15;aralkylamine N-acetyltransferase
0.46454,0.33423,0.647138,255,48,0,255,AAR2;25980;AAR2 splicing factor homolog
0.539095,0.973314,0.505978,85,0,255,255,AARS;16;alanyl-tRNA synthetase
0.26609,0.280571,0.862172,0,255,154,255,AARS2;57505;alanyl-tRNA synthetase 2- mitochondrial
0.625796,0.480807,0.449852,0,10,255,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1
0.431614,0.455777,0.473563,255,0,240,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase
0.197324,0.799577,0.474909,245,255,0,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
0.0922392,0.527811,0.187866,255,144,0,255,AASS;10157;aminoadipate-semialdehyde synthase
0.719647,0.462712,0.311907,68,68,68,255,AATF;26574;apoptosis antagonizing transcription factor
0.343934,0.348285,0.257918,0,250,255,255,AATK;9625;apoptosis associated tyrosine kinase
0.226359,0.247201,0.726885,0,50,255,255,ABAT;18;4-aminobutyrate aminotransferase
0.333466,0.566519,0.137545,0,66,255,255,ABCA1;19;ATP binding cassette subfamily A member 1
0.33859,0.788773,0.473595,68,68,68,255,ABCA10;10349;ATP binding cassette subfamily A member 10
0.112655,0.578545,0.352235,255,0,184,255,ABCA12;26154;ATP binding cassette subfamily A member 12
0.465671,0.492454,0.510523,0,50,255,255,ABCA13;154664;ATP binding cassette subfamily A member 13
0.441199,0.343934,0.772467,0,2,255,255,ABCA2;20;ATP binding cassette subfamily A member 2
0.232278,0.232664,0.814341,109,0,255,255,ABCA3;21;ATP binding cassette subfamily A member 3
0.407632,0.44429,0.690136,0,50,255,255,ABCA4;24;ATP binding cassette subfamily A member 4
0.303183,0.0830037,0.394058,255,248,0,255,ABCA5;23461;ATP binding cassette subfamily A member 5
0.445654,0.429034,0.472896,0,50,255,255,ABCA6;23460;ATP binding cassette subfamily A member 6
0.655364,0.0928843,0.735551,0,255,50,255,ABCA7;10347;ATP binding cassette subfamily A member 7
0.265818,0.101281,0.161378,133,0,255,255,ABCA9;10350;ATP binding cassette subfamily A member 9
0.320874,0.330562,0.163565,68,68,68,255,ABCB1;5243;ATP binding cassette subfamily B member 1
0.382584,0.342504,0.969059,255,168,0,255,ABCB10;23456;ATP binding cassette subfamily B member 10
0.0915918,0.02243,0.731245,0,50,255,255,ABCB11;8647;ATP binding cassette subfamily B member 11
0.390665,0.453758,0.697769,0,50,255,255,ABCB4;5244;ATP binding cassette subfamily B member 4
0.251869,0.321136,0.798731,255,104,0,255,ABCB5;340273;ATP binding cassette subfamily B member 5
0.245236,0.158403,0.528569,255,104,0,255,ABCB6;10058;ATP binding cassette subfamily B member 6 (Langereis blood group)
0.395508,0.333252,0.994999,255,168,0,255,ABCB7;22;ATP binding cassette subfamily B member 7
0.455507,0.24948,0.838833,255,0,96,255,ABCB8;11194;ATP binding cassette subfamily B member 8
0.347054,0.551023,0.8875,0,50,255,255,ABCB9;23457;ATP binding cassette subfamily B member 9
0.248697,0.597211,0.878743,0,218,255,255,ABCC1;4363;ATP binding cassette subfamily C member 1
0.0454216,0.464123,0.676669,0,50,255,255,ABCC10;89845;ATP binding cassette subfamily C member 10
0.254514,0.485639,0.543421,125,255,0,255,ABCC12;94160;ATP binding cassette subfamily C member 12
0.398502,0.337108,0.991049,255,168,0,255,ABCC2;1244;ATP binding cassette subfamily C member 2
0.347883,0.551346,0.883658,0,50,255,255,ABCC3;8714;ATP binding cassette subfamily C member 3
0.300683,0.587322,0.904437,0,50,255,255,ABCC4;10257;ATP binding cassette subfamily C member 4
0.0915918,0.02243,0.731245,0,50,255,255,ABCC5;10057;ATP binding cassette subfamily C member 5
0.0915918,0.02243,0.731245,0,50,255,255,ABCC6;368;ATP binding cassette subfamily C member 6
0.551883,0.483364,0.653917,68,68,68,255,ABCC8;6833;ATP binding cassette subfamily C member 8
0.425961,0.555993,0.856115,255,128,0,255,ABCC9;10060;ATP binding cassette subfamily C member 9
0.365825,0.370759,0.952999,0,50,255,255,ABCD1;215;ATP binding cassette subfamily D member 1
